Date,Company,value,MarketCap,BookMarket,PriceBook
2009-12-31,air-liquide,21.09550814195113,33380.0,0.33222591362126247,3.01
2010-01-31,air-liquide,20.78657455444336,38040.0,0.3184713375796178,3.14
2010-02-28,air-liquide,20.08439302444458,38040.0,0.3184713375796178,3.14
2010-03-31,air-liquide,22.336927165155824,38040.0,0.3184713375796178,3.14
2010-04-30,air-liquide,24.138509273529053,38040.0,0.3184713375796178,3.14
2010-05-31,air-liquide,22.319780349731445,38040.0,0.3184713375796178,3.14
2010-06-30,air-liquide,22.649059208956633,38040.0,0.3184713375796178,3.14
2010-07-31,air-liquide,19.92917000163685,38040.0,0.3184713375796178,3.14
2010-08-31,air-liquide,19.936559763821688,38040.0,0.3184713375796178,3.14
2010-09-30,air-liquide,21.484035925431684,38040.0,0.3184713375796178,3.14
2010-10-31,air-liquide,23.450898579188756,38040.0,0.3184713375796178,3.14
2010-11-30,air-liquide,26.047871936451305,38040.0,0.3184713375796178,3.14
2010-12-31,air-liquide,27.46333340236119,38040.0,0.3184713375796178,3.14
2011-01-31,air-liquide,28.079572586786178,37520.0,0.3448275862068966,2.9
2011-02-28,air-liquide,28.341926956176756,37520.0,0.3448275862068966,2.9
2011-03-31,air-liquide,26.334010165670644,37520.0,0.3448275862068966,2.9
2011-04-30,air-liquide,25.39837656523052,37520.0,0.3448275862068966,2.9
2011-05-31,air-liquide,25.084497711875223,37520.0,0.3448275862068966,2.9
2011-06-30,air-liquide,24.64827858317982,37520.0,0.3448275862068966,2.9
2011-07-31,air-liquide,25.812986555553618,37520.0,0.3448275862068966,2.9
2011-08-31,air-liquide,20.971852592799973,37520.0,0.3448275862068966,2.9
2011-09-30,air-liquide,18.470425952564586,37520.0,0.3448275862068966,2.9
2011-10-31,air-liquide,18.72569411141532,37520.0,0.3448275862068966,2.9
2011-11-30,air-liquide,17.096315817399457,37520.0,0.3448275862068966,2.9
2011-12-31,air-liquide,16.08930238087972,37520.0,0.3448275862068966,2.9
2012-01-31,air-liquide,17.918141928586092,39130.0,0.35335689045936397,2.83
2012-02-29,air-liquide,21.53143156142462,39130.0,0.35335689045936397,2.83
2012-03-31,air-liquide,22.22048568725586,39130.0,0.35335689045936397,2.83
2012-04-30,air-liquide,21.634674072265625,39130.0,0.35335689045936397,2.83
2012-05-31,air-liquide,21.276610374450684,39130.0,0.35335689045936397,2.83
2012-06-30,air-liquide,20.00653584798177,39130.0,0.35335689045936397,2.83
2012-07-31,air-liquide,21.64768886566162,39130.0,0.35335689045936397,2.83
